# English	Chinese	Russian	Japanese	Bavarian
Licenses	许可证	Лицензии	ライセンス	Lizenzen
Licenses & credits	许可证与鸣谢	Лицензии и авторы	ライセンスとクレジット	Lizenzen & Mitwirkende
Credits	鸣谢	Авторы	クレジット	Mitwirkende
Notices	法律声明	Уведомления	権利表記	Hinweise
Source code	源代码	Исходный код	ソースコード	Quellcode
Source	源码	Исходники	ソース	Quellcode
Project source	项目源码	Код проекта	プロジェクトのソース	Projekt-Quellcode
Copy source link	复制源码链接	Копировать ссылку	ソースのリンクをコピー	Quellcode-Link kopiern
Source link copied	已复制源码链接	Ссылка скопирована	リンクをコピーしました	Quellcode-Link kopiert
Could not copy source link.	无法复制源码链接。	Не удалось скопировать ссылку.	リンクをコピーできませんでした。	Quellcode-Link ned kopiert.
Could not open the browser. Use Copy source link.	无法打开浏览器。请复制源码链接。	Браузер не открылся. Скопируйте ссылку.	ブラウザーを開けません。リンクをコピーしてください。	Browser geht ned auf. Kopier den Quellcode-Link.
License document unavailable	许可证文档不可用	Документ лицензии недоступен	ライセンス文書を利用できません	Lizenzdokument ned verfügbar
This document is missing. Obtain the complete build from its distributor.	缺少此文档。请向分发者获取完整版本。	Документ отсутствует. Получите полную сборку у распространителя.	文書がありません。配布元から完全なビルドを入手してください。	Des Dokument fehlt. Hol da den vollständigen Build vom Anbieter.
Vibe combines GPLv3 code with AGPLv3 components. Each component keeps its license.	Vibe 结合 GPLv3 代码和 AGPLv3 组件。各组件保留原有许可证。	Vibe объединяет код GPLv3 с компонентами AGPLv3. Каждый сохраняет свою лицензию.	Vibe は GPLv3 のコードと AGPLv3 の構成要素を組み合わせています。各ライセンスは維持されます。	Vibe verbindet GPLv3-Code mit AGPLv3-Teilen. Jeder Teil behält sei Lizenz.
Fog, Torus hit effects and the media HUD are adapted from Schizoid.	雾效、圆环命中特效和媒体 HUD 改编自 Schizoid。	Туман, эффекты попадания Torus и медиа-HUD адаптированы из Schizoid.	霧、Torus のヒット演出、メディア HUD は Schizoid を移植したものです。	Nebel, Torus-Treffereffekte und des Medien-HUD stammen aus Schizoid.
Simplex noise used by the visual effects.	视觉特效使用的 Simplex 噪声。	Симплексный шум для визуальных эффектов.	視覚効果で使用するシンプレックスノイズ。	Simplex-Rauschen für d Bildeffekte.
Device-login reference and OAuth application; no library bundled.	设备登录参考及 OAuth 应用；未捆绑其库。	Образец входа по коду и приложение OAuth; библиотека не включена.	デバイスログインの参考と OAuth アプリ。ライブラリは同梱していません。	Vorlag fürs Geräte-Login und OAuth-App; koa Bibliothek mitgliefert.
Authentication protocol and application configuration reference; no library bundled.	身份验证协议与应用配置参考；未捆绑其库。	Образец протокола входа и настроек приложения; библиотека не включена.	認証プロトコルとアプリ設定の参考。ライブラリは同梱していません。	Vorlag fürs Anmeldeprotokoll und d App-Einstellung; koa Bibliothek mitgliefert.
Login configuration reference. Shader provenance details are in Notices.	登录配置参考。着色器来源详情见法律声明。	Образец настроек входа. Происхождение шейдеров описано в уведомлениях.	ログイン設定の参考。シェーダーの出典は権利表記をご覧ください。	Vorlag für d Anmeldung. Shader-Herkunft steht in de Hinweise.
Other libraries and assets keep their own terms. See Notices for the full inventory.	其他库和资源保留各自条款。完整清单见法律声明。	Другие библиотеки и ресурсы сохраняют свои условия. Полный список в уведомлениях.	他のライブラリや素材には固有の条件が適用されます。一覧は権利表記にあります。	Andere Bibliothekn und Inhalte behalten ihre Bedingungen. D ganze Listn steht in de Hinweise.
You may use, modify and share covered code under its license terms. No warranty is provided; see the full licenses.	您可按许可证条款使用、修改和分享适用代码。不提供担保；请阅读完整许可证。	Использование, изменение и передача кода разрешены по его лицензии. Гарантий нет; см. полные тексты.	対象コードはライセンス条件に従い使用・変更・共有できます。保証はありません。全文をご確認ください。	Du derfst den Code nach seiner Lizenz nutzn, ändern und teilen. Koa Gewährleistung; lies de vollständigen Lizenzen.
Matching source for this build	此版本对应的源代码	Исходники этой сборки	このビルドに対応するソース	Passender Quellcode für den Build
Obtain this archive alongside the JAR from its distributor. A repository checkout may differ from your build.	请从分发者处获取与 JAR 配套的此归档。仓库代码可能与您的版本不同。	Получите этот архив вместе с JAR у распространителя. Код в репозитории может отличаться от сборки.	配布元から JAR と一緒にこのアーカイブを入手してください。リポジトリの内容はビルドと異なる場合があります。	Hol des Archiv zamm mit der JAR vom Anbieter. Des Repository kann von deim Build abweichen.
Project repository	项目仓库	Репозиторий проекта	プロジェクトのリポジトリ	Projekt-Repository
When sharing a build, provide its matching source and preserve the license and copyright notices.	分享版本时，请提供对应源码并保留许可证和版权声明。	При передаче сборки предоставьте соответствующий код и сохраните лицензии и сведения об авторских правах.	ビルドを共有する際は対応するソースを提供し、ライセンスと著作権表示を維持してください。	Beim Teilen vom Build gib den passenden Quellcode mit und behalt Lizenz- und Urheberhinweise.
GPLv3 and AGPLv3 permit this combination. AGPL network-source duties apply when their conditions are met.	GPLv3 和 AGPLv3 允许这种组合。满足条件时，适用 AGPL 的网络源码提供义务。	GPLv3 и AGPLv3 допускают такое объединение. При выполнении условий действуют сетевые обязанности AGPL по предоставлению кода.	GPLv3 と AGPLv3 はこの組み合わせを認めています。条件を満たす場合は AGPL のネットワーク経由のソース提供義務が適用されます。	GPLv3 und AGPLv3 erlauben des zamm. De AGPL-Pflichten zum Netzwerk-Quellcode gelten, wenn ihre Bedingungen erfüllt san.
The license texts and credits are available here without an internet connection.	许可证文本与鸣谢无需联网即可在此查看。	Тексты лицензий и сведения об авторах доступны здесь без интернета.	ライセンス全文とクレジットはインターネット接続なしで読めます。	De Lizenztexte und Mitwirkenden kannst hier a ohne Internet lesen.
Choose which entities combat and ESP use	选择战斗和透视使用的实体类型	Выберите сущности для боя и ESP	戦闘と ESP の対象を選択	Such Ziele für Kampf und ESP aus
Smoothly aims at the best Vibe target	平滑瞄准最佳目标	Плавно наводится на выбранную цель	最適なターゲットへ滑らかに照準	Zielt gschmeidig aufs beste Ziel
Customize local time and weather	自定义本地时间和天气	Настроить локальное время и погоду	ローカルの時間と天候を設定	Zeit und Wetter eistelln
Customize first-person sword blocking	自定义第一人称剑格挡	Настроить блок мечом от первого лица	一人称の剣ガードを設定	Schwertblock in erster Person eistelln
Assist held left-click attacks	辅助按住左键时的攻击	Помогать атакам при удержании мыши	左クリック長押し中の攻撃を補助	Hilft beim ghaltnen Linksklick
Select the best hotbar tool for the current vanilla action	为当前操作选择最佳快捷栏工具	Выбрать лучший инструмент для действия	現在の操作に最適なツールを選択	Wählt des beste Werkzeig für d Aktion
Safely buffers target movement updates	缓冲目标移动更新	Буферизовать обновления движения цели	ターゲットの移動更新をバッファー	Speichert Zielbewegunga zwischen
Automatically jump while moving	移动时自动跳跃	Автоматически прыгать в движении	移動中に自動ジャンプ	Beim Gehn automatisch hupfa
Shows blocks you place or break for a short time	短暂显示放置或破坏的方块	Временно показывать поставленные и сломанные блоки	設置・破壊したブロックを一時表示	Zoagt gesetzte und abbaute Blöck kurz
Customize the selected block outline and fill	自定义所选方块的轮廓和填充	Настроить контур и заливку выбранного блока	選択ブロックの輪郭と塗りつぶしを設定	Blockrand und Füllung eistelln
Globally control Vibe blur surfaces	全局控制 Vibe 背景模糊	Управлять размытием интерфейса Vibe	Vibe のぼかし表示を一括設定	Vibe-Unschärfe überall eistelln
Highlight normal, redstone, and ender chests	高亮普通箱、陷阱箱和末影箱	Подсветить обычные, красные и эндер-сундуки	通常・トラップ・エンダーチェストを強調	Normale, Redstone- und Endertruhn markiern
Loot useful chest items with Default or cursor-based timing	按默认或光标时序取走有用物品	Забирать полезные предметы с выбранными задержками	指定した間隔で有用なチェスト内アイテムを取得	Nützliche Sachn aus Truhn nehman
Create, preview and assign cosmetic presets	创建、预览和分配装饰预设	Создавать и назначать косметические пресеты	コスメのプリセットを作成・確認・割り当て	Kosmetik-Vorlagn erstelln und zuateiln
Custom first-person crosshair	自定义第一人称准星	Свой прицел от первого лица	一人称のカスタム照準	Eigener Zielpunkt in erster Person
Bed-break bursts and heart or dot trails	床破坏粒子和爱心或圆点轨迹	Частицы кроватей и следы сердец или точек	ベッド破壊時の粒子とハート・点の軌跡	Bett-Partikel und Herzlspurn
Print selected module diagnostics in local chat	在本地聊天中显示模块诊断	Печатать диагностику модулей в локальном чате	モジュールの診断をローカルチャットに表示	Modul-Diagnose im lokalen Chat zoagn
Sneak at unsupported block edges	在无支撑的方块边缘潜行	Приседать на краю блока	足場の端でスニーク	Am Blockrand schleichn
Preview and arrange tactical ESP elements	预览和排列战术透视元素	Расположить элементы тактического ESP	戦術 ESP の要素を確認・配置	Taktische ESP-Elemente anordna
3D and tactical Counter-Strike-style target ESP	三维和 Counter-Strike 风格目标透视	3D и тактический ESP в стиле Counter-Strike	3D と Counter-Strike 風のターゲット ESP	3D und taktisches Ziel-ESP
Queues movement packets while preserving action order	按操作顺序缓存移动数据包	Буферизовать пакеты движения по порядку	操作順を保って移動パケットを保留	Bewegungspakete in da Reihenfolge puffern
Tune the normal block-damage controller	调整原版方块破坏控制	Настроить обычное разрушение блоков	通常のブロック破壊を調整	Normalen Blockabbau eistelln
Tune local block placement delay	调整本地方块放置延迟	Настроить задержку установки блоков	ブロック設置の遅延を調整	Verzögerung beim Blocksetzn eistelln
Simple client flight	简单的客户端飞行	Простой клиентский полёт	シンプルなクライアント飛行	Oafachs Fliegn
Set a custom client field of view	设置自定义视野	Настроить поле зрения клиента	クライアントの視野角を設定	Eigenes Sichtfeld eistelln
Keep saved friends out of combat	避免攻击已保存的好友	Исключить сохранённых друзей из боя	登録したフレンドを戦闘対象から除外	Gspeicherte Freind ausm Kampf raushaltn
Maximise local brightness	最大化本地亮度	Максимальная локальная яркость	ローカルの明るさを最大化	Helligkeit ganz aufdrahn
Play local reactions to player actions	播放玩家操作的本地反馈	Локальные звуковые реакции на действия	プレイヤーの操作に応じた音声を再生	Lokale Reaktiona auf Aktionen abspuin
